Tester Name$System Name$JVM Name$JVM Version$max-jOPS$critical-jOPS$Test_Location$Publish_Date$CPU_Name$Nodes$Processor_Chips$Processor_Cores$Processor_Threads$CPU_Frequency$Primary_Cache$Secondary_Cache$Tertiary_Cache$Disk$Memory
Hewlett Packard Enterprise$ProLiant DL380 Gen9  HTML$Oracle Java SE 8u74$Java HotSpot 64-bit Server VM, version 1.8.0_74$120674$39615$Houston, TX$Mar 30, 2016$Intel Xeon CPU E5-2660 v4$1$2$28$56$2000$32 KB I +32 KB D on chip per core$256 KB I+D on chip per core$35 MB I+D on chip per chip$1 x 750 GB$32 GB 2Rx4 PC4-2400T-R(GB)
Hewlett Packard Enterprise$ProLiant ML350 Gen9  HTML$Oracle Java SE 8u72$Java HotSpot 64-bit Server VM, version 1.8.0_72$120674$38570$Houston, TX$Mar 30, 2016$Intel Xeon CPU E5-2660 v4$1$2$28$56$2000$32 KB I +32 KB D on chip per core$256 KB I+D on chip per core$35 MB I+D on chip per chip$1 x 750 GB$32 GB 2Rx4 PC4-2400T-R(GB)
Hewlett Packard Enterprise$ProLiant DL580 Gen9  HTML$Oracle Java SE 8u92$Java HotSpot 64-bit Server VM, version 1.8.0_92$189334$117045$Houston, TX$Jun 06, 2016$Intel Xeon E5-2695 v4$1$2$36$72$2100$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$45 MB I+D on chip per chip$1 x 1TB SATA 7200 RPM$32 GB 2Rx4 PC4-2400T-R(GB)
Hewlett Packard Enterprise$ProLiant DL580 Gen9  HTML$Oracle Java SE 8u92$Java HotSpot 64-bit Server VM, version 1.8.0_92$219406$72271$Houston, TX$Jun 06, 2016$Intel Xeon E5-2695 v4$1$2$36$72$2100$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$45 MB I+D on chip per chip$1 x 1 TB SATA 7200 RPM$32 GB 2Rx4 PC4-2400T-R(GB)
Hewlett Packard Enterprise$Synergy 480 Gen9  HTML$Oracle Java SE 8u102$Java HotSpot 64-bit Server VM, version 1.8.0_102$94667$67214$Houston, TX$Nov 09, 2016$Intel Xeon E5-2695 v4$1$2$36$72$2100$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$45 MB I+D on chip per chip$1 x 1 TB SATA 7200 RPM$32 GB 2Rx4 PC4-2400T-R(GB)
Hewlett Packard Enterprise$Synergy 680 Gen9  HTML$Oracle Java SE 8u102$Java HotSpot 64-bit Server VM, version 1.8.0_102$189334$136537$Houston, TX$Nov 09, 2016$Intel Xeon E5-2695 v4$1$2$36$72$2100$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$45 MB I+D on chip per chip$1 x 1 TB SATA 7200 RPM$32 GB 2Rx4 PC4-2400T-R(GB)
Hewlett Packard Enterprise$Synergy 680 Gen9  HTML$Oracle Java SE 8u102$Java HotSpot 64-bit Server VM, version 1.8.0_102$219406$72541$Houston, TX$Nov 09, 2016$Intel Xeon E5-2695 v4$1$2$36$72$2100$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$45 MB I+D on chip per chip$1 x 1 TB SATA 7200 RPM$32 GB 2Rx4 PC4-2400T-R(GB)
Hewlett Packard Enterprise$Synergy 680 Gen9  HTML$Oracle Java SE 8u121$Java HotSpot 64-bit Server VM, version 1.8.0_121$196434$142026$Houston, TX$Mar 30, 2017$Intel Xeon E7-8894 v4$1$4$96$192$2400$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$60 MB I+D on chip per chip$1 x 400 GB SSD SAS$16 GB 2Rx4 PC4-2400T-R, running at 1600MHz(GB)
Hewlett Packard Enterprise$Synergy 680 Gen9  HTML$Oracle Java SE 8u121$Java HotSpot 64-bit Server VM, version 1.8.0_121$227634$75399$Houston, TX$Mar 30, 2017$Intel Xeon E7-8894 v4$1$4$96$192$2400$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$60 MB I+D on chip per chip$1 x 400 GB SSD SAS$16 GB 2Rx4 PC4-2400T-R, running at 1600MHz(GB)
Hewlett Packard Enterprise$ProLiant DL380 Gen10  HTML$Oracle Java SE 8u131$Java HotSpot 64-bit Server VM, version 1.8.0_131$173615$53463$Houston, TX$Tue Jul 11 13:21:27 EDT 2017$Intel Xeon Platinum 8180$1$4$112$224$2500$32 KB I + 32 KB D per core$1024 KB I+D per core$38.5 MB I+D per chip$1 x 800 GB SSD SAS$16 GB 2Rx8 PC4-2666V-R(GB)
Hewlett Packard Enterprise$ProLiant DL380 Gen10  HTML$Oracle Java SE 8u131$Java HotSpot 64-bit Server VM, version 1.8.0_131$141360$117883$Houston, TX$Tue Jul 11 13:21:27 EDT 2017$Intel Xeon Platinum 8180$1$4$112$224$2500$32 KB I + 32 KB D per core$1024 KB I+D per core$38.5 MB I+D per chip$1 x 800 GB SSD SAS$16 GB 2Rx8 PC4-2666V-R(GB)
Hewlett Packard Enterprise$Synergy 660 Gen10  HTML$Oracle Java SE 8u131$Java HotSpot 64-bit Server VM, version 1.8.0_131$275906$239527$Houston, TX$Tue Jul 11 13:21:27 EDT 2017$Intel Xeon Platinum 8180 CPU$1$4$112$224$2500$32 KB I + 32 KB D per core$1024 KB I+D per core$38.5 MB I+D per chip$1 x 480 GB SSD SAS$16 GB 2Rx8 PC4-2666V-R(GB)
Hewlett Packard Enterprise$ProLiant DL560 Gen10  HTML$Oracle Java SE 8u131$Java HotSpot 64-bit Server VM, version 1.8.0_131$339338$102352$Houston, TX$Tue Jul 11 13:21:27 EDT 2017$Intel Xeon Platinum 8180$1$4$112$224$2500$32 KB I + 32 KB D per core$1024 KB I+D per core$38.5 MB I+D per chip$1 x 480 GB SSD SAS$16 GB 2Rx8 PC4-2666V-R(GB)
Hewlett Packard Enterprise$ProLiant DL380 Gen10  HTML$Oracle Java SE 8u131$Java HotSpot 64-bit Server VM, version 1.8.0_131$74937$64754$Houston, TX$Fri Aug  4 11:08:36 EDT 2017$Intel Xeon Platinum 8180$1$4$112$224$2500$32 KB I + 32 KB D on chip per core$1024 KB I+D on chip per core$38.5 MB I+D on chip per chip$1 x 800 GB SSD SAS$16 GB 2Rx8 PC4-2666V-R(GB)
Hewlett Packard Enterprise$ProLiant DL380 Gen10  HTML$Oracle Java SE 8u131$Java HotSpot 64-bit Server VM, version 1.8.0_131$81875$28948$Houston, TX$Fri Aug  4 11:08:36 EDT 2017$Intel Xeon Gold 6146$1$4$48$96$3200$32 KB I + 32 KB D on chip per core$1024 KB I+D on chip per core$24.75 MB I+D on chip per chip$1 x 800 GB SSD SAS$16 GB 2Rx8 PC4-2666V-R(GB)
Hewlett Packard Enterprise$ProLiant DL580 Gen10  HTML$Oracle Java SE 8u144$Java HotSpot 64-bit Server VM, version 1.8.0_144$347230$60679$Houston, TX$Thu Oct 26 18:23:05 EDT 2017$Intel Xeon Platinum 8180$1$4$112$224$2500$32 KB I + 32 KB D on chip per core$1024 KB I+D on chip per core$38.5 MB I+D on chip per chip$2 x 480 GB SSD SAS$64 GB 4Rx4 PC4-2666V-L(GB)
Hewlett Packard Enterprise$ProLiant ML350 Gen10  HTML$Oracle Java SE 8u144$Java HotSpot 64-bit Server VM, version 1.8.0_144$141360$120771$Houston, TX$Thu Oct 26 18:23:05 EDT 2017$Intel Xeon Platinum 8180$1$2$56$112$2500$32 KB I + 32 KB D on chip per core$1024 KB I+D on chip per core$38.5 MB I+D on chip per chip$1 x 480 GB SSD SATA$32 GB 2Rx4 PC4-2666V-R(GB)
Hewlett Packard Enterprise$ProLiant DL385 Gen10  HTML$Oracle Java SE 8u144$Java HotSpot 64-bit Server VM, version 1.8.0_144$125650$61602$Houston, TX$Tue Nov 21 12:21:24 EST 2017$Intel Xeon Platinum 8180$1$4$112$224$2500$32 KB I + 32 KB D on chip per core$1024 KB I+D on chip per core$38.5 MB I+D on chip per chip$2 x 800 GB SSD SAS$16 GB 2Rx8 PC4-2666V-R(GB)
Hewlett Packard Enterprise$ProLiant DL385 Gen10  HTML$Oracle Java SE 8u144$Java HotSpot 64-bit Server VM, version 1.8.0_144$146327$5464$Houston, TX$Tue Nov 21 12:21:24 EST 2017$Intel Xeon Platinum 8180$1$4$112$224$2500$32 KB I + 32 KB D on chip per core$1024 KB I+D on chip per core$38.5 MB I+D on chip per chip$2 x 800 GB SSD SAS$16 GB 2Rx8 PC4-2666V-R(GB)
