Table_Type$Company$System_Name$Nodes$Jvm_Company$Cpu_Name$Cpu_Frequency$Chips$Cores$Threads$Memory$Test_Location$Publish_Date$Primary_Instruction_Cache$Primary_Data_Cache$Secondary_Cache$Tertiary_Cache$Total_Result
Power$Acer Incorporated$Acer AR180 F1(Intel Xeon X5670, 2.93 GHz)$1$IBM Corporation$Intel Xeon X5670$2933.0$2.0$12.0$24.0$12.0$Taipei$Dec 1, 2010$32.0$32.0$512.0$12288.0$2485.0
Power$Acer Incorporated$Gateway GR180 F1(Intel Xeon X5670, 2.93 GHz)$1$IBM Corporation$Intel Xeon X5670$2933.0$2.0$12.0$24.0$12.0$Taipei$Dec 1, 2010$32.0$32.0$512.0$12288.0$2484.0
Power$Acer Incorporated$AT310 F1$1$IBM Corporation$Intel Xeon X3470$2933.0$1.0$4.0$8.0$8.0$Taipei$Feb 17, 2011$32.0$32.0$256.0$8192.0$2004.0
Power$Acer Incorporated$Gateway GW2000h-GW170h F1  Gateway GW2000h$4$IBM Corporation$Intel Xeon X5675$3067.0$8.0$48.0$96.0$48.0$Taipei$Mar 23, 2011$32.0$32.0$256.0$12288.0$2659.0
Power$Acer Incorporated$Gateway GW2000h-GW170h F1  Gateway GW2000h$4$IBM Corporation$Intel Xeon X5675$3067.0$8.0$48.0$96.0$96.0$Taipei$Mar 23, 2011$32.0$32.0$256.0$12288.0$2795.0
Power$Acer Incorporated$Acer AW2000h-AW170h F1  Acer AW2000h$4$IBM Corporation$Intel Xeon X5675$3067.0$8.0$48.0$96.0$96.0$Taipei$Apr 7, 2011$32.0$32.0$256.0$12288.0$2769.0
Power$Acer Incorporated$Gateway GR585 F1$1$IBM Corporation$AMD Opteron 6168$1900.0$4.0$48.0$48.0$32.0$Taipei$May 4, 2011$64.0$64.0$512.0$12288.0$2210.0
Power$Acer Incorporated$Gateway GR585 F1$1$IBM Corporation$AMD Opteron 6176$2300.0$4.0$48.0$48.0$32.0$Taipei$May 4, 2011$64.0$64.0$512.0$12288.0$2350.0
Power$Acer Incorporated$Gateway GR385 F1$1$IBM Corporation$AMD Opteron 6176$2300.0$2.0$24.0$24.0$16.0$Taipei$May 5, 2011$64.0$64.0$512.0$12288.0$2291.0
Power$Acer Incorporated$Gateway GT350 F1$1$IBM Corporation$Intel Xeon X5675$3067.0$2.0$12.0$24.0$12.0$Taipei$May 11, 2011$32.0$32.0$256.0$12288.0$2462.0
