Table_Type$Company$System_Name$Jvm_Name$Jvm_Version$Test_Location$Publish_Date$Cpu_Name$Nodes$Chips$Cores$Threads$Cpu_Frequency$Primary_Instruction_Cache$Primary_Data_Cache$Secondary_Cache$Tertiary_Cache$Memory$Total_Result
distributed$Hewlett Packard$ProLiant DL360 Gen9$Oracle Java SE 8u72$Java HotSpot 64-bit Server VM, version 1.8.0_72$Houston$Mar 30, 2016$Intel Xeon CPU E5-2660 v4$1.0$2.0$28.0$56.0$2000.0$32.0$32.0$256.0$35840.0$32.0$71001.7
distributed$Hewlett Packard$ProLiant DL360 Gen9$Oracle Java SE 8u72$Java HotSpot 64-bit Server VM, version 1.8.0_72$Houston$Mar 30, 2016$Intel Xeon CPU E5-2660 v4$1.0$2.0$28.0$56.0$2000.0$32.0$32.0$256.0$35840.0$32.0$63861.299999999996
distributed$Hewlett Packard$ProLiant DL380 Gen9$Oracle Java SE 8u74$Java HotSpot 64-bit Server VM, version 1.8.0_74$Houston$Mar 30, 2016$Intel Xeon CPU E5-2660 v4$1.0$2.0$28.0$56.0$2000.0$32.0$32.0$256.0$35840.0$32.0$63932.7
distributed$Hewlett Packard$ProLiant ML350 Gen9$Oracle Java SE 8u72$Java HotSpot 64-bit Server VM, version 1.8.0_72$Houston$Mar 30, 2016$Intel Xeon CPU E5-2660 v4$1.0$2.0$28.0$56.0$2000.0$32.0$32.0$256.0$35840.0$32.0$63201.2
distributed$Hewlett Packard$ProLiant DL580 Gen9$Oracle Java SE 8u92$Java HotSpot 64-bit Server VM, version 1.8.0_92$Houston$Jun 06, 2016$Intel Xeon E5-2695 v4$1.0$2.0$36.0$72.0$2100.0$32.0$32.0$256.0$46080.0$32.0$138731.7
distributed$Hewlett Packard$ProLiant DL580 Gen9$Oracle Java SE 8u92$Java HotSpot 64-bit Server VM, version 1.8.0_92$Houston$Jun 06, 2016$Intel Xeon E5-2695 v4$1.0$2.0$36.0$72.0$2100.0$32.0$32.0$256.0$46080.0$32.0$116411.5
distributed$Hewlett Packard$Synergy 480 Gen9$Oracle Java SE 8u102$Java HotSpot 64-bit Server VM, version 1.8.0_102$Houston$Nov 09, 2016$Intel Xeon E5-2695 v4$1.0$2.0$36.0$72.0$2100.0$32.0$32.0$256.0$46080.0$32.0$75449.9
distributed$Hewlett Packard$Synergy 680 Gen9$Oracle Java SE 8u102$Java HotSpot 64-bit Server VM, version 1.8.0_102$Houston$Nov 09, 2016$Intel Xeon E5-2695 v4$1.0$2.0$36.0$72.0$2100.0$32.0$32.0$256.0$46080.0$32.0$152376.09999999998
distributed$Hewlett Packard$Synergy 680 Gen9$Oracle Java SE 8u102$Java HotSpot 64-bit Server VM, version 1.8.0_102$Houston$Nov 09, 2016$Intel Xeon E5-2695 v4$1.0$2.0$36.0$72.0$2100.0$32.0$32.0$256.0$46080.0$32.0$116600.5
distributed$Hewlett Packard$Synergy 680 Gen9$Oracle Java SE 8u121$Java HotSpot 64-bit Server VM, version 1.8.0_121$Houston$Mar 30, 2017$Intel Xeon E7-8894 v4$1.0$4.0$96.0$192.0$2400.0$32.0$32.0$256.0$61440.0$16.0$158348.4
