Tester Name$System Name$JVM Name$JVM Version$max-jOPS$critical-jOPS$Test_Location$Publish_Date$CPU_Name$Nodes$Processor_Chips$Processor_Cores$Processor_Threads$CPU_Frequency$Primary_Cache$Secondary_Cache$Tertiary_Cache$Disk$Memory
Cisco Systems$Cisco UCS C240 M5  HTML$Oracle Java SE 8u131$Java HotSpot 64-bit Server VM, version 1.8.0_131$141360$118551$San Jose, CA$Tue Jul 11 13:21:27 EDT 2017$Intel Xeon Platinum 8180$1$2$56$112$2500$32 KB I + 32 KB D per core$1024 KB I+D per core$38.5 MB I+D per chip$1x 400GB SSD SAS$1536 GB(24 X 64GB 4DRx4 PC4-2666V)(GB)
Cisco Systems$Cisco UCS C480 M5  HTML$Oracle Java SE 8u131$Java HotSpot 64-bit Server VM, version 1.8.0_131$269094$225482$San Jose, CA$Tue Jul 11 13:21:27 EDT 2017$Intel Xeon Platinum 8180$1$4$112$224$2500$32 KB I + 32 KB D per core$1024 KB I+D per core$38.5 MB I+D per chip$1x 400GB SSD SAS$3072 GB(48 X 64GB 4DRx4 DDR4 PC4-2666V)(GB)
Cisco Systems$Cisco UCS C480 M5  HTML$Oracle Java SE 8u131$Java HotSpot 64-bit Server VM, version 1.8.0_131$343284$114296$San Jose, CA$Tue Jul 11 13:21:27 EDT 2017$Intel Xeon Platinum 8180$1$4$112$224$2500$32 KB I + 32 KB D per core$1024 KB I+D per core$38.5 MB I+D per chip$1x 400GB SSD SAS$768 GB(48 X 16GB 2Rx4 PC4-2666V)(GB)
Cisco Systems$Cisco UCS C480 M5  HTML$Oracle Java SE 8u131$Java HotSpot 64-bit Server VM, version 1.8.0_131$351175$112800$San Jose, CA$Jul 20, 2017$Intel Xeon Platinum 8180$1$4$112$224$2500$32KB(I)+32KB(D) per core$1024 KB (I+D) per core$38.5MB (I+D) on chip per chip$1x 400GB SSD SAS$768 GB(48 X 16GB 2Rx4 PC4-2666V)(GB)
Cisco Systems$Cisco UCS C480 M5  HTML$Oracle Java SE 8u131$Java HotSpot 64-bit Server VM, version 1.8.0_131$272500$229029$San Jose, CA$Jul 20, 2017$Intel Xeon Platinum 8180$1$4$112$224$2500$32KB(I)+32KB(D) per core$1024 KB (I+D) per core$38.5MB (I+D) on chip per chip$1x 400GB SSD SAS$3072 GB(48 X 64GB 4DRx4 DDR4 PC4-2666V)(GB)
Cisco Systems$Cisco UCS C125 M5 Rack Server Node  HTML$Oracle Java SE 10.0.2$Java HotSpot 64-bit Server VM, version 10.0.2$77234$44545$San Jose, CA$Thu Sep 27 14:33:39 EDT 2018$AMD EPYC 7601$1$1$32$64$2200$64KB(I)+32KB(D) on chip per core$512KB (I+D)on chip per core$8MB L3 cache per 4 core$1x 1.2TB 10K RPM HDD SAS$64 GB 4DRx4 PC4-2666V-L(GB)
Cisco Systems$Cisco UCS C480 M5  HTML$Oracle Java SE 11.0.2$Java HotSpot 64-bit Server VM, version 11.0.2$363013$137248$San Jose, CA$Tue Apr  2 15:05:14 EDT 2019$Intel Xeon Platinum 8280$1$4$112$224$2700$32KB(I)+32KB(D) per core$1024 KB (I+D) per core$38.5MB (I+D) on chip per chip$1x 400GB SSD SAS$1536 GB(48 X 32GB 2Rx4 PC4-2933V)(GB)
Cisco Systems$Cisco UCS C480 M5  HTML$Oracle Java SE 11.0.2$Java HotSpot 64-bit Server VM, version 11.0.2$327501$108859$San Jose, CA$Tue Apr  2 15:05:14 EDT 2019$Intel Xeon Platinum 8280$1$4$112$224$2700$32KB(I)+32KB(D) per core$1024 KB (I+D) per core$38.5MB (I+D) on chip per chip$1x 400GB SSD SAS$1536 GB(48 X 32GB 2Rx4 PC4-2933V)(GB)
Cisco Systems$Cisco UCS C240 M5  HTML$Oracle Java SE 11.0.2$Java HotSpot 64-bit Server VM, version 11.0.2$131141$91701$San Jose, CA$Tue Apr  2 15:05:14 EDT 2019$Intel Xeon Platinum 8280$1$2$56$112$2700$32KB(I)+32KB(D) per core$1024 KB (I+D) per core$38.5MB (I+D) on chip per chip$1x 400GB SSD SAS$1536 GB(24 X 64GB 2Rx4 PC4-2933V)(GB)
Cisco Systems$Cisco UCS C240 M5  HTML$Oracle Java SE 11.0.2$Java HotSpot 64-bit Server VM, version 11.0.2$171642$56027$San Jose, CA$Tue Apr  2 15:05:14 EDT 2019$Intel Xeon Platinum 8280$1$2$56$112$2700$32KB(I)+32KB(D) per core$1024 KB (I+D) per core$38.5MB (I+D) on chip per chip$1x 400GB SSD SAS$768 GB(24 X 32GB 2Rx4 PC4-2933V)(GB)
