Test Sponsor$System Name$Base  Copies$Processor # Enabled  Cores$Processor # Enabled  Chips$Processor # Threads/  Core$Results # Base$Results # Peak$Energy # Base$Energy # Peak$Publish_Date$CPU_Name$CPU_Frequency$Primary_Cache$Secondary_Cache$Tertiary_Cache$Memory$Disk
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz, Intel Xeon Platinum 8280L)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$112$56$2$2$299$305$--$--$Jun-2020$Intel Xeon Gold 6242R$3100$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$35.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz, Intel Xeon Platinum 8280L)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$112$56$2$2$301$306$--$--$Jun-2020$Intel Xeon Silver 4215R$3200$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$11 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2400)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz, Intel Xeon E-2126G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$6$6$1$1$37.9$38.5$--$--$May-2019$Intel Xeon Gold 6246$3300$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$24.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.50 GHz, Intel Xeon E-2146G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$12$6$1$2$38.3$38.8$--$--$Apr-2020$Intel Xeon Gold 6246R$3400$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$35.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (3.60 GHz, Intel Xeon Gold 6244)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$32$16$2$2$160$165$--$--$May-2019$Intel Xeon Gold 6244$3600$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$24.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz, Intel Xeon Platinum 8276M)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$112$56$2$2$285$290$--$--$Apr-2020$Intel Xeon Gold 6256$3600$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$33 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (1.90 GHz, Intel Xeon Gold 6238T)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$88$44$2$2$234$240$--$--$Aug-2019$Intel Xeon Platinum 8256$3800$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$16.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (3.30 GHz, Intel Xeon Gold 6246)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$48$24$2$2$209$215$--$--$Feb-2020$Intel Xeon Gold 6250$3900$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$35.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.50 GHz, Intel Xeon E-2134)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$8$4$1$2$32.0$32.7$--$--$Jul-2019$Intel Xeon E-2104G$3200$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz, Intel Xeon Platinum 8253)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$64$32$2$2$185$189$--$--$Jul-2019$Intel Xeon E-2124$3300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
