Test Sponsor$System Name$Base  Copies$Processor # Enabled  Cores$Processor # Enabled  Chips$Processor # Threads/  Core$Results # Base$Results # Peak$Energy # Base$Energy # Peak$Publish_Date$CPU_Name$CPU_Frequency$Primary_Cache$Secondary_Cache$Tertiary_Cache$Memory$Disk
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.20 GHz, Intel Xeon Gold 5120)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$56$28$2$2$139$147$--$--$May-2020$Intel Xeon Silver 4214R$2400$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$16.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2400)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.10 GHz, Intel Xeon Gold 6130T)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$64$32$2$2$171$181$--$--$Jul-2019$Intel Xeon Gold 5215$2500$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$13.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2666)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.00 GHz, Intel Xeon Platinum 8153)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$64$32$2$2$147$155$--$--$Jun-2019$Intel Xeon Gold 6248$2500$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$27.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.60 GHz, Intel Xeon Gold 6132)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$56$28$2$2$165$175$--$--$Jul-2019$Intel Xeon Silver 4215$2500$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$11 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2400)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.80 GHz, Intel Xeon E-2186G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$12$6$1$2$43.8$46.8$--$--$Sep-2019$Intel Xeon Gold 6240M$2600$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$24.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS500A-E9(KNPA-U16) Server System (2.20 GHz, AMD EPYC 7601 32-Core)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$64$32$1$2$142$156$--$--$Jun-2019$Intel Xeon Gold 6226$2700$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$19.25 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.70 GHz, Intel Xeon E-2176G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$12$6$1$2$43.5$46.6$--$--$Feb-2020$Intel Xeon Gold 6258R$2700$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$38.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz, Intel Xeon E-2136)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$12$6$1$2$43.0$46.1$--$--$Aug-2020$Intel Xeon Platinum 8280$2700$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$38.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.80 GHz, Intel Xeon E-2174G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$8$4$1$2$31.4$33.5$--$--$Apr-2019$Intel Xeon Platinum 8280L$2700$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$38.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 240 GB SATA SSD
ASUSTeK Computer Inc.$ASUS RS700A-E9(KNPP-D32) Server System (2.20 GHz, AMD EPYC 7601)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$128$64$2$2$304$323$--$--$Apr-2019$Intel Xeon Platinum 8280L$2700$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$38.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 240 GB SATA SSD
ASUSTeK Computer Inc.$ASUS RS700-E9(Z11PP-D24) Server System (2.10 GHz, Intel Xeon Silver 4116)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$48$24$2$2$120$125$--$--$Jun-2020$Intel Xeon Gold 6226R$2900$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$22 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz, Intel Xeon E-2124)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$4$4$1$1$24.3$25.6$--$--$Jul-2019$Intel Xeon Gold 5217$3000$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$11 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2666)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.40 GHz, Intel Xeon E-2124G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$4$4$1$1$25.3$26.7$--$--$Jun-2020$Intel Xeon Gold 6248R$3000$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$35.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.20 GHz, Intel Xeon E-2104G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$4$4$1$1$20.6$21.7$--$--$Jun-2020$Intel Xeon Gold 6242R$3100$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$35.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz, Intel Xeon Platinum 8280L)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$112$56$2$2$361$378$--$--$Jun-2020$Intel Xeon Silver 4215R$3200$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$11 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2400)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz, Intel Xeon Platinum 8280L)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$112$56$2$2$364$381$--$--$May-2019$Intel Xeon Gold 6246$3300$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$24.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz, Intel Xeon E-2126G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$6$6$1$1$39.2$40.5$--$--$Apr-2020$Intel Xeon Gold 6246R$3400$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$35.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.50 GHz, Intel Xeon E-2146G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$12$6$1$2$46.2$48.4$--$--$May-2019$Intel Xeon Gold 6244$3600$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$24.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (3.60 GHz, Intel Xeon Gold 6244)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$32$16$2$2$144$148$--$--$Apr-2020$Intel Xeon Gold 6256$3600$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$33 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
